iteration,log_likelihood,beta,spectral_radius,projected,elapsed_seconds,mu_min,mu_max,alpha_sum
1,-828016.2858091077,0.3,0.8233148198881889,False,5.799973964691162,0.011455441378967762,0.1650197525950909,11.612111442542634
2,-367327.69011694705,0.3,0.8259706193695697,False,5.746327877044678,0.012157365184006397,0.15730114312182644,11.687359203014502
3,-366924.47334203153,0.3,0.8286542966968158,False,5.780273914337158,0.012813096514976712,0.15015638318776273,11.777200520215438
4,-366558.5281055581,0.3,0.8313468431380349,False,5.699885845184326,0.013427901171092214,0.14357354529220387,11.874965213711034
5,-366228.9823456636,0.3,0.8340305837852724,False,5.8124988079071045,0.014006054106340295,0.13752837998070383,11.975078782817562
6,-365934.3448269479,0.3,0.8366895481493273,False,5.723455190658569,0.01455091204617196,0.1319893791308275,12.07353158498918
7,-365672.4503107861,0.3,0.8393095655529502,False,5.7007036209106445,0.015065070910604793,0.12692130669623938,12.167820571417648
8,-365440.8578108427,0.3,0.8418782101907423,False,5.734440803527832,0.015550543762752294,0.12228761427112468,12.256560733582319
9,-365237.1022971064,0.3,0.8443846746223143,False,4.69332218170166,0.016008924663815705,0.1180520497568637,12.339067458301267
10,-365058.7294967264,0.3,0.8468196433680013,False,4.096136569976807,0.016441523479538235,0.11417968753405881,12.415061337935088
11,-364903.2604097221,0.3,0.8491752265985205,False,4.038151264190674,0.01684946839440652,0.11063754896581916,12.484504461745548
12,-364768.190341007,0.3,0.8514449758733091,False,4.1577513217926025,0.0172337789437218,0.10739493728307245,12.547522360254598
13,-364651.0396624832,0.3,0.8536239528960508,False,3.975111961364746,0.017595414830503028,0.10442357724941652,12.60436671902724
14,-364549.43031629967,0.3,0.8557087894466923,False,4.4586029052734375,0.017935306219259265,0.10169762482542814,12.655391164931736
15,-364461.1585133561,0.3,0.8576976803467116,False,4.42084813117981,0.018254370635243978,0.09919359335152235,12.701027732456572
16,-364384.2459208161,0.3,0.8595902831623867,False,4.273314476013184,0.01855352066675975,0.0968902289971401,12.741761076086359
17,-364316.964089632,0.3,0.8613875349754658,False,4.29806923866272,0.01883366569841711,0.09476835817656423,12.778101990747562
18,-364257.83507506363,0.3,0.8630914193277208,False,4.1787919998168945,0.019095710044410883,0.09281072237194089,12.810563031938658
19,-364205.6149700187,0.3,0.8647047207473004,False,4.178719520568848,0.019340549152468817,0.09100181061191367,12.839638494226204
20,-364159.2676423331,0.3,0.8662307959030178,False,4.079013347625732,0.019569065011084442,0.08932769618136151,12.865789840572276
21,-364117.93474425806,0.3,0.8676733777999533,False,3.846783399581909,0.01978212149394118,0.08777588157113018,12.889436574996068
22,-364080.9061836939,0.3,0.8690364183796266,False,4.3440539836883545,0.01998056008905205,0.08633515390873518,12.910951821587956
23,-364047.59344690235,0.3,0.8703239676907503,False,4.6300578117370605,0.020165196260169264,0.08499545191446393,12.930661544197795
24,-364017.5067866676,0.3,0.8715400842917245,False,4.27374005317688,0.02033681655234435,0.08374774463609434,12.948846311620443
25,-363990.23640313454,0.3,0.8726887706040037,False,4.126474142074585,0.02049617646449557,0.08258392170868022,12.965744654040938
26,-363965.43726583227,0.3,0.8737739273891957,False,4.641752481460571,0.020643999055892846,0.08149669457673746,12.98155726428726
27,-363942.8170282338,0.3,0.8747993225331541,False,4.055478096008301,0.020780974220508282,0.08047950794242364,12.99645150717383
28,-363922.12645634793,0.3,0.8757685704078193,False,4.289350509643555,0.02090775854582061,0.07952646062082257,13.010565879942803
29,-363903.15184660105,0.3,0.8766851190287634,False,4.405303478240967,0.021024975665629927,0.07863223496111985,13.024014206272199
30,-363885.7089939046,0.3,0.8775522429693288,False,4.525182485580444,0.02113321701603354,0.07779203400857515,13.036889447027727
31,-363869.63835925015,0.3,0.8783730405424295,False,4.344048738479614,0.021233042907392113,0.07700152562171468,13.049267079381002
32,-363854.80116539844,0.3,0.8791504341551608,False,4.249043226242065,0.02132498383117074,0.07625679281196036,13.061208039733444
33,-363841.0762135794,0.3,0.8798871730201415,False,4.3995983600616455,0.02140954192787865,0.07555428963189667,13.072761251997813
34,-363828.35726493533,0.3,0.8805858376051741,False,4.0553038120269775,0.021487192550257873,0.07489080199926648,13.08396577678846
35,-363816.55086866085,0.3,0.8812488453447432,False,4.261185884475708,0.02155838586400831,0.07426341290347999,13.094852623138229
36,-363805.5745474104,0.3,0.8818784572412628,False,4.126784324645996,0.02162354843645553,0.07366947149834026,13.10544626547683
37,-363795.35527177615,0.3,0.8824767850626315,False,4.034794569015503,0.021683084771584336,0.07310656563770862,13.115765906816968
38,-363785.8281710398,0.3,0.8830457989037496,False,4.128075122833252,0.02173737875771906,0.0725724974595958,13.125826525748868
39,-363776.9354390213,0.3,0.8835873349277803,False,4.368433237075806,0.02178679500181692,0.07206526166842452,13.135639740805738
40,-363768.62540229,0.3,0.884103103142039,False,4.236439228057861,0.02183168003180373,0.07158302620515976,13.145214521561066
41,-363760.85172451235,0.3,0.8845946950950965,False,4.460357189178467,0.02187236335557033,0.07112411503076375,13.15455777176323
42,-363753.5727255313,0.3,0.885063591407728,False,4.429184913635254,0.02190915837206294,0.07068699278032256,13.163674806065437
43,-363746.75079761154,0.3,0.885511169071801,False,4.359755516052246,0.021942363136221343,0.07027025107355395,13.172569738550518
44,-363740.35190426174,0.3,0.8859387084689467,False,4.140339374542236,0.02197226098520364,0.06987259629250975,13.18124579829676
45,-363734.3451493982,0.3,0.8863474000750109,False,4.4825379848480225,0.02199912103823473,0.06949283865952277,13.189705584676673
46,-363728.7024065298,0.3,0.8867383508284136,False,4.33337664604187,0.02202319858639483,0.06912988246803453,13.19795127289867
47,-363723.3979993023,0.3,0.8871125901496341,False,4.172655344009399,0.022044735391604314,0.06878271733627415,13.205984778455221
48,-363718.40842596546,0.3,0.8874710756070066,False,4.019411087036133,0.0220639599159064,0.06845041036899918,13.213807887598774
49,-363713.71212140017,0.3,0.8878146982297929,False,3.8468360900878906,0.022081087502868992,0.06813209912593118,13.221422359685189
50,-363709.28925134835,0.3,0.8881442874742943,False,3.782628297805786,0.02209632053257319,0.06782698530737402,13.228830006174334
51,-363705.1215341839,0.3,0.8884606158523541,False,3.9989335536956787,0.022109848570319744,0.06753432907789587,13.23603275022243
52,-363701.1920862521,0.3,0.888764403234309,False,3.4848406314849854,0.022121848527014775,0.06725344395814434,13.243032670111381
53,-363697.48528734053,0.3,0.8890563208403781,False,3.0637190341949463,0.022132484846381594,0.06698369222292987,13.24983202920898
54,-363693.9866633285,0.3,0.8893369949358237,False,2.9420666694641113,0.02214190973088944,0.06672448075083111,13.256433294715615
