iteration,log_likelihood,beta,spectral_radius,projected,elapsed_seconds,mu_min,mu_max,alpha_sum
1,-2125648.502502824,0.3,0.5626374285212775,False,5.815960168838501,0.03191226111835651,0.11625705161400539,9.476883656592866
2,-1357663.3056868338,0.3,0.5739086917326539,False,5.931511402130127,0.03520963007870634,0.1094554282026693,9.578407845386886
3,-1354983.1017979172,0.3,0.5851820990348837,False,5.840839147567749,0.03597444600087377,0.10311243738176942,9.694881084266244
4,-1352751.7742527542,0.3,0.5960755426737863,False,5.812402725219727,0.036290529390156694,0.09723278416220353,9.819065043572673
5,-1350900.9326396664,0.3,0.6063836901829052,False,5.804333209991455,0.03653351513919712,0.09181042727953344,9.944922914888862
6,-1349377.5419204948,0.3,0.6159957904154522,False,5.81559157371521,0.03670865161387852,0.08683037477229406,10.067804579919507
7,-1348133.1442532954,0.3,0.6248575431953104,False,5.821910619735718,0.034989638536800476,0.08227074922647751,10.184615631561542
8,-1347121.483280102,0.3,0.6329534542881272,False,5.813019514083862,0.03299649181576589,0.07810523134192433,10.29368297636671
9,-1346300.126021305,0.3,0.6402974436462419,False,5.78251576423645,0.03126068498471724,0.07430547113106435,10.394397084547967
10,-1345632.1062462672,0.3,0.6469257194124471,False,5.8517022132873535,0.029785911200747167,0.07084302430444345,10.486824948602612
11,-1345086.4517694355,0.3,0.6528893084787075,False,5.813234806060791,0.02855579505666713,0.06800517969268358,10.57140588213657
12,-1344637.9833919657,0.3,0.6582462395743887,False,5.83258318901062,0.027543604580955387,0.06688443202567823,10.648747919192623
13,-1344266.8055895956,0.3,0.6630547249406256,False,5.874233961105347,0.026718765244976527,0.06582533491419888,10.719502777491485
14,-1343957.6164639248,0.3,0.6673685579366797,False,5.876622438430786,0.026050917521232113,0.06482608657754806,10.784294635121022
15,-1343698.8689729709,0.3,0.6712350774034352,False,5.930676221847534,0.025512188212997004,0.06388474272910888,10.843685458475221
16,-1343481.8630105145,0.3,0.6746952294537871,False,5.931103229522705,0.025078233423174546,0.06299926158963878,10.898165201614775
17,-1343299.893865377,0.3,0.6777848415831587,False,5.786741256713867,0.024728500768074545,0.06231055274178643,10.948157558684255
18,-1343147.5685122814,0.3,0.680536228077868,False,5.892011404037476,0.02444604515683,0.061726944688065125,10.994033209499854
19,-1343020.3410652727,0.3,0.6829795182315955,False,5.825846433639526,0.024217126756049992,0.061191222066584304,11.036124253438434
20,-1342914.2519521029,0.3,0.685143447096415,False,5.817076206207275,0.02403073377078066,0.0606988091778462,11.074735946291312
21,-1342825.8129320978,0.3,0.6870556253958051,False,5.81382942199707,0.023878110578984132,0.060245597508434036,11.110154271324909
22,-1342751.9708149051,0.3,0.6887424505025767,False,5.774458169937134,0.023752331056432513,0.05982790692895691,11.142649627778912
23,-1342690.0971978372,0.3,0.6902288485070232,False,5.764558553695679,0.023647932401260133,0.059442446328849256,11.172477778583774
24,-1342637.9743036204,0.3,0.6915379971602444,False,5.830107927322388,0.02356061119558068,0.0590862753466693,11.199879331316197
25,-1342593.7665144885,0.3,0.6926911178861077,False,5.781301498413086,0.02348697671892642,0.05875676815857547,11.225078757702727
26,-1342555.9789492215,0.3,0.6937073709557389,False,5.801496267318726,0.02342435380545749,0.058451579833046954,11.248283572117856
27,-1342523.4090486295,0.3,0.6946038520291163,False,5.834811449050903,0.023370626990798095,0.05816861546795695,11.26968395457355
28,-1342495.0972970636,0.3,0.6953956700539976,False,5.904250144958496,0.023324118226807102,0.0579060021430923,11.289452877399071
29,-1342470.2814603657,0.3,0.6960960809416814,False,6.016475677490234,0.023283491426707603,0.05766206361023597,11.30774667226694
30,-1342448.3566844598,0.3,0.6967166531090644,False,5.861774444580078,0.023247678201181177,0.05743529757915108,11.324705926057183
31,-1342428.842198989,0.3,0.6972674458099501,False,6.109509229660034,0.023215820190728775,0.057224355424358955,11.340456589457805
32,-1342411.354367874,0.3,0.697757186674903,False,6.109629392623901,0.023187224318753207,0.05702802412334955,11.355111198106734
33,-1342395.5853315503,0.3,0.698193439780312,False,5.9122490882873535,0.02316132806269282,0.05684521023440294,11.368770128363712
34,-1342381.286317946,0.3,0.6985827594084818,False,6.852101564407349,0.023137672471816917,0.056674925726755226,11.381522831285915
35,-1342368.2547275175,0.3,0.6989308274094788,False,6.258058786392212,0.023115881165956483,0.05651627548432197,11.393449006293448
